# slug|中文名|基酒|杯型|方式|风味标签|配方 id:用量:单位:optional:alternative|装饰|步骤（自述）|图片主体
tipperary|蒂珀雷里|威士忌|马天尼杯|搅拌||irish-whiskey:50;vermouth:25;chartreuse-green:15;angostura:2:dash|orange:1:片|材料加冰充分搅冷，滤入预冷马天尼杯。|amber drink in V shaped martini glass orange slice no ice
tommys-margarita|汤米玛格丽特|龙舌兰|古典杯|摇和|酸甜,柑橘|tequila:60;lime:30;agave-nectar:30|lime-fruit:1:片|材料加冰摇匀，滤入装冰的预冷古典杯。|cloudy pale lime margarita in rocks glass with ice and lime slice no salt
trinidad-sour|特立尼达酸||鸡尾酒杯|摇和|酸甜,柑橘|angostura:45;orgeat:30;lemon:22.5;rye:15||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|opaque dark reddish brown sour in coupe no garnish no ice
tuxedo|燕尾服|金酒|马天尼杯|搅拌||old-tom:30;dry-vermouth:30;luxardo-maraschino:1/2:吧匙;absinthe:1/4:吧匙;orange-bitters:3:dash|cherry:1:颗;lemon-fruit:1:条皮|材料加冰充分搅冷，滤入预冷马天尼杯。|clear pale straw martini in V glass with cherry and lemon twist no ice
ve-n-to|风之息|白兰地|小号平底杯|摇和|酸甜,柑橘|grappa:45;lemon:22.5;honey-chamomile:15;chamomile-cordial:15;egg-white:少许:滴:可选|lemon-fruit:1:条皮;grapes:3:颗|材料加冰用力摇匀，滤入装冰的预冷小号平底杯。|pale golden drink in small rocks glass ice lemon zest and white grapes
vesper|维斯帕|多种烈酒|鸡尾酒杯|摇和||gin:45;vodka:15;lillet:7.5|lemon-fruit:1:条皮|材料加冰摇匀，滤入预冷鸡尾酒杯。|clear pale golden drink in stemmed cocktail glass lemon zest no ice
vieux-carre|老广场|多种烈酒|鸡尾酒杯|搅拌||rye:30;cognac:30;vermouth:30;benedictine:1:吧匙;peychauds:2:dash|orange:1:条皮;cherry:1:颗|材料加冰充分搅冷，滤入预冷鸡尾酒杯。|clear amber drink in coupe served up orange zest and cherry no ice
whiskey-sour|威士忌酸|威士忌|古典杯|摇和|酸甜,柑橘|bourbon:45;lemon:25;syrup:20;egg-white:少许:滴:可选|orange:半:片;cherry:1:颗|材料加冰充分摇匀，滤入科布勒杯；如选择加冰饮用，滤入装冰古典杯。用蛋清时充分摇出泡沫。|golden sour with white foam in rocks glass ice half orange slice and cherry
white-lady|白色佳人|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:40;triple-sec:30;lemon:20||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|pale ivory cloudy drink in coupe no garnish no ice
zombie|僵尸|朗姆酒|高杯|搅打|热带|jamaican-dark:45;puerto-rico-gold:45;demerara-rum:30;lime:20;falernum:15;donns-mix:15;grenadine:1:茶匙;angostura:1:dash;pernod:6:滴|mint:1:枝|材料与 170 克碎冰在搅拌机中短暂脉冲搅打，倒入高杯。|amber tropical drink in tall tumbler crushed ice mint leaves
